path-prefix: /anfs/gfxdisp/quality_datasets/LIVEHDR/train
features-suffix: livehdr
split-column: content
train-ratio: 80
seed: 0
resume: true
config_paths: /anfs/gfxdisp/quality_datasets/LIVEHDR
display: samsung_q90t_qled_livehdr_dark
full-screen-resize: bilinear
log-dir: logs/livehdr

test,reference,content,fps,w,h,sureal_bright_mos,jod
1080p_1M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,1920,1080,47.14721712903105,8.377348126963414
1080p_1M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,1920,1080,37.70075199018007,7.662539319589991
1080p_1M_firework.mp4,4k_ref_firework.mp4,firework,60.0,1920,1080,17.169701144248116,6.2950748698756875
1080p_1M_Flowers.mp4,4k_ref_Flowers.mp4,Flowers,60.0,1920,1080,8.349889562107183,5.549484878425834
1080p_1M_football10.mp4,4k_ref_football10.mp4,football10,50.0,1920,1080,13.150382918054609,6.3947882650488275
1080p_1M_football2.mp4,4k_ref_football2.mp4,football2,50.0,1920,1080,21.906952438251743,7.165624305209112
1080p_1M_football3.mp4,4k_ref_football3.mp4,football3,50.0,1920,1080,23.91184472863264,7.22770470000705
1080p_1M_football4.mp4,4k_ref_football4.mp4,football4,50.0,1920,1080,25.49731707502069,6.911327456226717
1080p_1M_football5.mp4,4k_ref_football5.mp4,football5,50.0,1920,1080,28.828163646991992,7.369932472424998
1080p_1M_football6.mp4,4k_ref_football6.mp4,football6,50.0,1920,1080,21.969153225433843,7.074216862169186
1080p_1M_football7.mp4,4k_ref_football7.mp4,football7,50.0,1920,1080,23.147723243998183,7.334918151433598
1080p_1M_football8.mp4,4k_ref_football8.mp4,football8,50.0,1920,1080,32.48773130326774,7.757078343976357
1080p_1M_football9.mp4,4k_ref_football9.mp4,football9,50.0,1920,1080,18.110048131413137,6.819579396041478
1080p_1M_Furniture.mp4,4k_ref_Furniture.mp4,Furniture,60.0,1920,1080,39.451467840814885,7.831629001146657
1080p_1M_golf1.mp4,4k_ref_golf1.mp4,golf1,50.0,1920,1080,24.69480461745489,6.576403151568606
1080p_1M_golf2.mp4,4k_ref_golf2.mp4,golf2,50.0,1920,1080,21.38016630729038,6.701348375150726
1080p_6M_CenterPanorama.mp4,4k_ref_CenterPanorama.mp4,CenterPanorama,60.0,1920,1080,68.52218941690957,9.527321636051278
1080p_6M_CourtYard.mp4,4k_ref_CourtYard.mp4,CourtYard,60.0,1920,1080,67.38574342775188,9.259591858931353
1080p_6M_firework.mp4,4k_ref_firework.mp4,firework,60.0,1920,1080,64.89583666850346,8.862740961080625
