path_prefix: /anfs/bigdisc/pmh64/XR-DAVID
split_column: distortion
train_ratio: 80
seed: 0
resume: true
extension: mp4
display_dir: /anfs/bigdisc/pmh64/XR-DAVID
display: eizo_CG3146
log_dir: logs/xr-david

scene,condition,jod,jod_low,jod_high,distortion,level,test,ref
Bonfire,Blur_Level001,8.85431001918027,-0.362659750180902,0.308376857396273,Blur,Level001,Bonfire_Blur_Level001,Bonfire_reference_Level001
Bonfire,Blur_Level002,7.33533156775589,-2.10694398890718,-1.07819938232923,Blur,Level002,Bonfire_Blur_Level002,Bonfire_reference_Level001
Bonfire,Blur_Level003,6.65934735788486,-2.85482470249509,-1.76235272293187,Blur,Level003,Bonfire_Blur_Level003,Bonfire_reference_Level001
Bonfire,CSub_Level001,10.110020182687911,0.936451255988019,1.56456701198122,CSub,Level001,Bonfire_CSub_Level001,Bonfire_reference_Level001
Bonfire,CSub_Level002,9.644744956152199,0.40221325889033,1.16740232019591,CSub,Level002,Bonfire_CSub_Level002,Bonfire_reference_Level001
Bonfire,CSub_Level003,9.647867910206084,0.518756077773412,1.07962689356898,CSub,Level003,Bonfire_CSub_Level003,Bonfire_reference_Level001
Bonfire,ColorFringes_Level001,9.131600038517027,-0.130812086491837,0.597260647047392,ColorFringes,Level001,Bonfire_ColorFringes_Level001,Bonfire_reference_Level001
Bonfire,ColorFringes_Level002,8.46127019056425,-0.854656833166592,-0.003835330287299,ColorFringes,Level002,Bonfire_ColorFringes_Level002,Bonfire_reference_Level001
Bonfire,ColorFringes_Level003,7.3829341314095505,-2.07927935449592,-0.99630743555537,ColorFringes,Level003,Bonfire_ColorFringes_Level003,Bonfire_reference_Level001
Bonfire,Contrast_Level001,7.931402151119769,-1.51020026778141,-0.467246729003204,Contrast,Level001,Bonfire_Contrast_Level001,Bonfire_reference_Level001
Bonfire,Contrast_Level002,7.57767921904699,-2.00505174330133,-0.805797703933732,Contrast,Level002,Bonfire_Contrast_Level002,Bonfire_reference_Level001
Bonfire,Contrast_Level003,7.03733033481858,-2.63377398009027,-1.34493870155696,Contrast,Level003,Bonfire_Contrast_Level003,Bonfire_reference_Level001
Bonfire,DUC_Level001,10.475866067023556,1.23006301705995,1.99252966327157,DUC,Level001,Bonfire_DUC_Level001,Bonfire_reference_Level001
Bonfire,DUC_Level002,10.00994041711118,0.746685357809228,1.59116465099151,DUC,Level002,Bonfire_DUC_Level002,Bonfire_reference_Level001
Bonfire,DUC_Level003,10.27459670695737,1.10284565550298,1.75619044193996,DUC,Level003,Bonfire_DUC_Level003,Bonfire_reference_Level001
Bonfire,Dither_Level001,9.395133694798478,0.167082790998464,0.866148658836355,Dither,Level001,Bonfire_Dither_Level001,Bonfire_reference_Level001
Bonfire,Dither_Level002,7.7847024763435,-1.57257946369596,-0.70500614624492,Dither,Level002,Bonfire_Dither_Level002,Bonfire_reference_Level001
Bonfire,Dither_Level003,4.94833828464491,-4.61029325125783,-3.49830274242082,Dither,Level003,Bonfire_Dither_Level003,Bonfire_reference_Level001
Bonfire,LSNU_Level001,10.27126061724058,1.06444925396028,1.78614809573698,LSNU,Level001,Bonfire_LSNU_Level001,Bonfire_reference_Level001
Bonfire,LSNU_Level002,9.461673900047098,0.324096385944858,0.940667738785888,LSNU,Level002,Bonfire_LSNU_Level002,Bonfire_reference_Level001
Bonfire,LSNU_Level003,8.78829963677964,-0.527357861767174,0.351905013486866,LSNU,Level003,Bonfire_LSNU_Level003,Bonfire_reference_Level001
Bonfire,WGNU_Level001,10.300724493816636,1.06663492111772,1.83518849719371,WGNU,Level001,Bonfire_WGNU_Level001,Bonfire_reference_Level001
Bonfire,WGNU_Level002,10.427035870721497,1.12643816600922,2.02329854951913,WGNU,Level002,Bonfire_WGNU_Level002,Bonfire_reference_Level001
Bonfire,WGNU_Level003,10.301692185689038,1.08362356468283,1.83227021491084,WGNU,Level003,Bonfire_WGNU_Level003,Bonfire_reference_Level001
Business,Blur_Level001,7.91529570399873,-0.507647131827579,0.0305124513985463,Blur,Level001,Business_Blur_Level001,Business_reference_Level001
Business,Blur_Level002,6.62903722153866,-1.90644932522514,-1.21211866148641,Blur,Level002,Business_Blur_Level002,Business_reference_Level001
Business,Blur_Level003,5.64335404133661,-2.93178122732603,-2.15218254802871,Blur,Level003,Business_Blur_Level003,Business_reference_Level001
Business,CSub_Level001,9.734447915744171,1.1638094576087,2.01579935319035,CSub,Level001,Business_CSub_Level001,Business_reference_Level001
Business,CSub_Level002,9.18884063757273,0.751935637057807,1.32440036369956,CSub,Level002,Business_CSub_Level002,Business_reference_Level001
Business,CSub_Level003,8.45447969455762,0.0622403632134297,0.548382647701572,CSub,Level003,Business_CSub_Level003,Business_reference_Level001
Business,ColorFringes_Level001,8.71179044140493,0.280969435546621,0.829923525230122,ColorFringes,Level001,Business_ColorFringes_Level001,Business_reference_Level001
Business,ColorFringes_Level002,7.18552163060968,-1.29106270751375,-0.656549042206239,ColorFringes,Level002,Business_ColorFringes_Level002,Business_reference_Level001
Business,ColorFringes_Level003,5.80899844373096,-2.79060099853034,-2.00760887110316,ColorFringes,Level003,Business_ColorFringes_Level003,Business_reference_Level001
Business,Contrast_Level001,9.029769587034922,0.538919232351655,1.22871609808715,Contrast,Level001,Business_Contrast_Level001,Business_reference_Level001
Business,Contrast_Level002,8.08368023575832,-0.296307852627225,0.152638838685505,Contrast,Level002,Business_Contrast_Level002,Business_reference_Level001
Business,Contrast_Level003,6.68864313542341,-1.91995403484926,-1.06667493919965,Contrast,Level003,Business_Contrast_Level003,Business_reference_Level001
Business,DUC_Level001,9.647761382049723,1.20386360667654,1.7830221841278,DUC,Level001,Business_DUC_Level001,Business_reference_Level001
Business,DUC_Level002,7.6627113347359295,-0.818101200150198,-0.162322810392427,DUC,Level002,Business_DUC_Level002,Business_reference_Level001
Business,DUC_Level003,7.1184757791813,-1.44872548080284,-0.634103591805053,DUC,Level003,Business_DUC_Level003,Business_reference_Level001
Business,Dither_Level001,10.012508968135235,1.56953597805445,2.1336296858794,Dither,Level001,Business_Dither_Level001,Business_reference_Level001
Business,Dither_Level002,8.7459712042933,0.320077279907765,0.871062225823323,Dither,Level002,Business_Dither_Level002,Business_reference_Level001
Business,Dither_Level003,6.45368912521454,-2.08296623414384,-1.35342580142213,Dither,Level003,Business_Dither_Level003,Business_reference_Level001
Business,LSNU_Level001,9.602580268652884,1.10655110989581,1.79435913169542,LSNU,Level001,Business_LSNU_Level001,Business_reference_Level001
Business,LSNU_Level002,8.57319603499886,0.161168105301326,0.677210043829084,LSNU,Level002,Business_LSNU_Level002,Business_reference_Level001
